drain TotalCurrent(IdVd_n2_SATURATION_des) X,drain TotalCurrent(IdVd_n2_SATURATION_des) Y
1.2100305,3.7949636e-05
1.2165639,3.8113254e-05
1.2257105,3.8359148e-05
1.2376012,3.8603114e-05
1.2516012,3.87879e-05
1.2656012,3.8724223e-05
1.2691012,3.8672823e-05
1.2737679,3.8581447e-05
1.2803012,3.8418962e-05
1.2892301,3.8196238e-05
1.2942898,3.820268e-05
1.2993495,3.8257717e-05
1.3062644,3.8330623e-05
1.3164063,3.8433442e-05
1.3304063,3.85684e-05
1.3444063,3.8695805e-05
1.3584063,3.8815787e-05
1.3724063,3.8928378e-05
1.3864063,3.8990037e-05
1.4,3.9046432e-05

